timestamp,bpm
2025-08-06 23:22:49,92
2025-08-06 23:22:50,95
2025-08-06 23:22:51,64
2025-08-06 23:22:52,76
2025-08-06 23:22:53,60
2025-08-06 23:22:54,65
2025-08-06 23:22:55,71
2025-08-06 23:22:56,93
2025-08-06 23:22:57,93
2025-08-06 23:22:58,60
2025-08-06 23:22:59,67
2025-08-06 23:23:00,89
2025-08-06 23:23:01,87
2025-08-06 23:23:02,73
2025-08-06 23:23:03,82
2025-08-06 23:23:04,73
2025-08-06 23:23:05,70
2025-08-06 23:23:06,79
2025-08-06 23:23:07,73
2025-08-06 23:23:08,94
2025-08-06 23:23:09,90
2025-08-06 23:23:10,86
2025-08-06 23:23:11,75
2025-08-06 23:23:12,87
2025-08-06 23:23:13,88
2025-08-06 23:23:14,77
2025-08-06 23:23:15,62
2025-08-06 23:23:16,74
2025-08-06 23:23:17,71
2025-08-06 23:23:18,80
2025-08-06 23:23:19,66
2025-08-06 23:23:20,70
2025-08-06 23:23:21,64
2025-08-06 23:23:22,75
2025-08-06 23:23:23,63
2025-08-06 23:23:24,68
2025-08-06 23:23:25,62
2025-08-06 23:23:26,78
2025-08-06 23:23:27,86
2025-08-06 23:23:28,72
2025-08-06 23:23:29,63
2025-08-06 23:23:30,73
2025-08-06 23:23:31,93
2025-08-06 23:23:32,77
2025-08-06 23:23:33,68
2025-08-06 23:23:34,61
2025-08-06 23:23:35,71
2025-08-06 23:23:36,85
2025-08-06 23:23:37,90
2025-08-06 23:23:38,63
2025-08-06 23:23:39,86
2025-08-06 23:23:40,99
2025-08-06 23:23:41,95
2025-08-06 23:23:42,74
2025-08-06 23:23:43,61
2025-08-06 23:23:44,84
2025-08-06 23:23:45,92
2025-08-06 23:23:46,85
2025-08-06 23:23:47,80
2025-08-06 23:23:48,64
2025-08-06 23:23:49,60
2025-08-06 23:23:50,100
2025-08-06 23:23:51,61
2025-08-06 23:23:52,80
2025-08-06 23:23:53,81
2025-08-06 23:23:54,81
2025-08-06 23:23:55,92
2025-08-06 23:23:56,79
2025-08-06 23:23:57,88
2025-08-06 23:23:58,93
2025-08-06 23:23:59,96
2025-08-06 23:24:00,73
2025-08-06 23:24:01,91
2025-08-06 23:24:02,66
2025-08-06 23:24:03,72
2025-08-06 23:24:04,83
2025-08-06 23:24:05,98
2025-08-06 23:24:06,95
2025-08-06 23:24:07,99
2025-08-06 23:24:08,74
2025-08-06 23:24:09,78
2025-08-06 23:24:10,80
2025-08-06 23:24:11,82
2025-08-06 23:24:12,71
2025-08-06 23:24:13,68
2025-08-06 23:24:14,96
2025-08-06 23:24:15,100
2025-08-06 23:24:16,75
2025-08-06 23:24:17,60
2025-08-06 23:24:18,75
2025-08-06 23:24:19,72
2025-08-06 23:24:20,60
2025-08-06 23:24:21,91
2025-08-06 23:24:22,96
2025-08-06 23:24:23,93
2025-08-06 23:24:24,60
2025-08-06 23:24:25,66
2025-08-06 23:24:26,95
2025-08-06 23:24:27,71
2025-08-06 23:24:28,69
2025-08-06 23:24:29,98
2025-08-06 23:24:30,100
2025-08-06 23:24:31,99
2025-08-06 23:24:32,97
2025-08-06 23:24:33,87
2025-08-06 23:24:34,70
2025-08-06 23:24:35,82
2025-08-06 23:24:36,61
2025-08-06 23:24:37,73
2025-08-06 23:24:38,72
2025-08-06 23:24:39,77
2025-08-06 23:24:40,70
2025-08-06 23:24:41,92
2025-08-06 23:24:42,78
2025-08-06 23:24:43,70
2025-08-06 23:24:44,65
2025-08-06 23:24:45,63
2025-08-06 23:24:46,76
2025-08-06 23:24:47,66
2025-08-06 23:24:48,71
2025-08-06 23:24:49,91
2025-08-06 23:24:50,62
2025-08-06 23:24:51,70
2025-08-06 23:24:52,88
2025-08-06 23:24:53,84
2025-08-06 23:24:54,88
2025-08-06 23:24:55,75
2025-08-06 23:24:56,86
2025-08-06 23:24:57,92
2025-08-06 23:24:58,91
2025-08-06 23:24:59,67
2025-08-06 23:25:00,96
2025-08-06 23:25:01,65
2025-08-06 23:25:02,96
2025-08-06 23:25:03,66
2025-08-06 23:25:04,74
2025-08-06 23:25:05,76
2025-08-06 23:25:06,67
2025-08-06 23:25:07,99
2025-08-06 23:25:08,77
2025-08-06 23:25:09,89
2025-08-06 23:25:10,71
2025-08-06 23:25:11,83
2025-08-06 23:25:12,91
2025-08-06 23:25:13,83
2025-08-06 23:25:14,64
2025-08-06 23:25:15,90
2025-08-06 23:25:16,77
2025-08-06 23:25:17,91
2025-08-06 23:25:18,75
2025-08-06 23:25:19,92
2025-08-06 23:25:20,65
2025-08-06 23:25:21,88
2025-08-06 23:25:22,91
2025-08-06 23:25:23,60
2025-08-06 23:25:24,67
2025-08-06 23:25:25,70
2025-08-06 23:25:26,99
2025-08-06 23:25:27,62
2025-08-06 23:25:28,90
2025-08-06 23:25:29,82
2025-08-06 23:25:30,69
2025-08-06 23:25:31,96
2025-08-06 23:25:32,70
2025-08-06 23:25:33,98
2025-08-06 23:25:34,93
2025-08-06 23:25:35,91
2025-08-06 23:25:36,78
2025-08-06 23:25:37,97
2025-08-06 23:25:38,77
2025-08-06 23:25:39,72
2025-08-06 23:25:40,99
2025-08-06 23:25:41,72
2025-08-06 23:25:42,97
2025-08-06 23:25:43,95
2025-08-06 23:25:44,74
2025-08-06 23:25:45,98
2025-08-06 23:25:46,100
2025-08-06 23:25:47,64
2025-08-06 23:25:48,95
